,,Allocated Limit for Hon'ble MPs,,
Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
1,Telangana,Dr. Abhishek Manu Singhvi (2026-32) (2026-2032),Elected MP,49000000
2,Maharashtra,Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030),Elected MP,147000000
3,Rajasthan,Dr. Alka Singh (2026-32) (2026-2032),Elected MP,49000000
4,Maharashtra,Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),Elected MP,196063957.1
5,Punjab,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,222487632.1
6,Bihar,Dr. Bhim Singh (2024-30) (2024-2030),Elected MP,186200000
7,Karnataka,Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,196063957.1
8,Bihar,Dr. Dharmshila Gupta (2024-30) (2024-2030),Elected MP,186200000
9,Uttar Pradesh,Dr. Dinesh Sharma (2023-26) (2023-2026),Elected MP,147000000
10,Bihar,Dr. Faiyaz Ahmad (2022-28) (2022-2028),Elected MP,235263957.1
11,Kerala,Dr. John Brittas (2021-27) (2021-2027),Elected MP,245063957.1
12,Maharashtra,Dr. Jyoti Nagnath Waghmare (2026-32) (2026-2032),Elected MP,49000000
13,Uttar Pradesh,Dr. K. Laxman (2022-28) (2022-2028),Elected MP,197637007.1
14,Uttarakhand,Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,200830405.8
15,Madhya Pradesh,Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,197118521.4
16,Madhya Pradesh,Dr. L. Murugan (2024-30) (2024-2030),Elected MP,147000000
17,Uttar Pradesh,Dr. Laxmikant Bajpayee (2022-28) (2022-2028),Elected MP,196000000
18,Tamil Nadu,Dr. M. Dhanapal (2025-31) (2025-2031),Elected MP,89248285.42
19,Tamil Nadu,Dr. M. Thambi Durai (2026-32) (2026-2032),Elected MP,49356476.5
20,Maharashtra,Dr. Medha Vishram Kulkarni (2024-30) (2024-2030),Elected MP,147000000
21,Delhi,Dr. Meenakshi Jain (2025-31) (2025-2031),Nominated MP,73500000
22,Gujarat,Dr. Mukeshbhai J. Rathwa (2026-32) (2026-2032),Elected MP,49000000
23,Gujarat,Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),Elected MP,147000000
24,Uttar Pradesh,Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028),Elected MP,203626524.7
25,Punjab,Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,232203454.2
26,Uttar Pradesh,Dr. Sangeeta Balwant (2024-30) (2024-2030),Elected MP,147000000
27,Odisha,Dr. Santrupt Misra (2026-32) (2026-2032),Elected MP,49000000
28,Jharkhand,Dr. Sarfraz Ahmad (2024-30) (2024-2030),Elected MP,178564551.1
29,Odisha,Dr. Sasmit Patra (2022-28) (2022-2028),Elected MP,196063957.1
Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
30,Rajasthan,Dr. Satish Poonia (2026-32) (2026-2032),Elected MP,49000000
31,Himachal Pradesh,Dr. Sikander Kumar (2022-28) (2022-2028),Elected MP,207863957.1
32,Uttar Pradesh,Dr. Sudhanshu Trivedi (2024-30) (2024-2030),Elected MP,147000000
33,Karnataka,Dr. Syed Naseer Hussain (2024-30) (2024-2030),Elected MP,147000000
