document_id,project_id,document_type,vendor_name,category,extracted_amount_inr,sanctioned_amount_inr,consistency_score,mismatch_flag,file_name
DOC0000001,PRJ000001,PURCHASE_BILL,ProSport Infrastructure & Turf Solutions,SPORTS_FACILITY,4560000.0,4560000.0,96.4,False,Purchase_Bill_PRJ000001.pdf
DOC0000002,PRJ000001,UTILIZATION_CERTIFICATE,Mumbai Municipal Corporation Infrastructure Cell,SPORTS_FACILITY,4560000.0,4560000.0,95.5,False,Utilization_Certificate_PRJ000001.pdf
DOC0000003,PRJ000002,PURCHASE_BILL,Speedway Repair & Resurfacing Contractors,ROAD_REPAIR,920000.0,920000.0,97.3,False,Purchase_Bill_PRJ000002.pdf
DOC0000004,PRJ000002,UTILIZATION_CERTIFICATE,Mumbai Municipal Corporation Infrastructure Cell,ROAD_REPAIR,465520.0,920000.0,99.1,False,Utilization_Certificate_PRJ000002.pdf
DOC0000005,PRJ000003,PURCHASE_BILL,National Civic Infrastructure Developers,COMMUNITY_HALL,4710000.0,4710000.0,97.0,False,Purchase_Bill_PRJ000003.pdf
DOC0000006,PRJ000003,UTILIZATION_CERTIFICATE,Thane District Rural Development Agency (DRDA),COMMUNITY_HALL,135348.1,4710000.0,96.7,False,Utilization_Certificate_PRJ000003.pdf
DOC0000007,PRJ000004,PURCHASE_BILL,CleanWater Sanitation & Drainage Works Pvt Ltd,SANITATION,1650000.0,1650000.0,94.4,False,Purchase_Bill_PRJ000004.pdf
DOC0000008,PRJ000004,UTILIZATION_CERTIFICATE,Thane District Rural Development Agency (DRDA),SANITATION,1509188.7,1650000.0,90.8,False,Utilization_Certificate_PRJ000004.pdf
DOC0000009,PRJ000005,PURCHASE_BILL,SwachhBharat Sanitation Infra Ltd,PUBLIC_TOILET,7990000.0,7990000.0,97.6,False,Purchase_Bill_PRJ000005.pdf
DOC0000010,PRJ000005,UTILIZATION_CERTIFICATE,Darjeeling Public Works Department (PWD),PUBLIC_TOILET,6008480.0,7990000.0,93.8,False,Utilization_Certificate_PRJ000005.pdf
DOC0000011,PRJ000006,PURCHASE_BILL,SwachhBharat Sanitation Infra Ltd,PUBLIC_TOILET,1140000.0,1140000.0,95.9,False,Purchase_Bill_PRJ000006.pdf
DOC0000012,PRJ000006,UTILIZATION_CERTIFICATE,Darjeeling Public Works Department (PWD),PUBLIC_TOILET,1140000.0,1140000.0,91.6,False,Utilization_Certificate_PRJ000006.pdf
DOC0000013,PRJ000007,PURCHASE_BILL,CleanWater Sanitation & Drainage Works Pvt Ltd,SANITATION,7800000.0,7800000.0,96.1,False,Purchase_Bill_PRJ000007.pdf
