entity_id,entity_name,entity_type,state_ut,district,entity_status
SYN_AGENCY_001,Ayodhya Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_002,Solapur Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Maharashtra,Solapur,UNDER_REVIEW
SYN_AGENCY_003,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_004,Solapur District Development Authority,IMPLEMENTING_AGENCY,Maharashtra,Solapur,ACTIVE
SYN_AGENCY_005,Cuddalore Rural Development Agency,IMPLEMENTING_AGENCY,Tamil Nadu,Cuddalore,ACTIVE
SYN_AGENCY_006,Ayodhya Rural Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_007,Begusarai Urban Development Agency,IMPLEMENTING_AGENCY,Bihar,Begusarai,ACTIVE
SYN_AGENCY_008,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_009,Kalaburagi Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Karnataka,Kalaburagi,SUSPENDED
SYN_AGENCY_010,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_011,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_012,Cuddalore Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Tamil Nadu,Cuddalore,UNDER_REVIEW
SYN_AGENCY_013,Cuddalore Rural Development Agency,IMPLEMENTING_AGENCY,Tamil Nadu,Cuddalore,ACTIVE
SYN_AGENCY_014,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_015,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_016,Ayodhya Rural Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_017,Ayodhya Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_018,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_019,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_020,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_021,Ayodhya Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_022,Balasore Rural Development Agency,IMPLEMENTING_AGENCY,Odisha,Balasore,ACTIVE
SYN_AGENCY_023,Cuddalore Urban Development Agency,IMPLEMENTING_AGENCY,Tamil Nadu,Cuddalore,ACTIVE
SYN_AGENCY_024,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_025,Ayodhya Rural Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_026,Amravati Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Maharashtra,Amravati,ACTIVE
SYN_AGENCY_027,North 24 Parganas District Development Authority,IMPLEMENTING_AGENCY,West Bengal,North 24 Parganas,ACTIVE
SYN_AGENCY_028,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_029,Cuddalore Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Tamil Nadu,Cuddalore,SUSPENDED
SYN_AGENCY_030,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_AGENCY_031,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_AGENCY_032,Gaya Rural Development Agency,IMPLEMENTING_AGENCY,Bihar,Gaya,UNDER_REVIEW
SYN_AGENCY_033,Ayodhya Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_AGENCY_034,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_AGENCY_035,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,SUSPENDED
SYN_AGENCY_036,Gaya Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Bihar,Gaya,SUSPENDED
SYN_AGENCY_037,Ayodhya Rural Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_038,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_039,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_040,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,SUSPENDED
SYN_AGENCY_041,Ganjam Urban Development Agency,IMPLEMENTING_AGENCY,Odisha,Ganjam,SUSPENDED
SYN_AGENCY_042,Cuddalore Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Tamil Nadu,Cuddalore,UNDER_REVIEW
SYN_AGENCY_043,Ayodhya Rural Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_044,Kottayam Urban Development Agency,IMPLEMENTING_AGENCY,Kerala,Kottayam,ACTIVE
SYN_AGENCY_045,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_046,Ayodhya Rural Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,UNDER_REVIEW
