transaction_id,project_id,mp_id,transaction_date,transaction_type,amount_inr,cumulative_expenditure_inr,remaining_amount_inr,recipient_entity_id,payment_status,financial_year
TXN000001,PRJ000001,MP00001,2024-09-13,SANCTION,1343900,0,1343900,SYN_AGENCY_014,COMPLETED,2024-25
TXN000002,PRJ000001,MP00001,2024-12-27,RELEASE,1334700,0,1343900,SYN_AGENCY_014,COMPLETED,2024-25
TXN000003,PRJ000001,MP00001,2025-03-12,ADVANCE,1313400,1313400,30500,SYN_CONTRACTOR_074,COMPLETED,2024-25
TXN000004,PRJ000002,MP00001,2024-07-01,SANCTION,1579300,0,1579300,SYN_AGENCY_063,COMPLETED,2024-25
TXN000005,PRJ000002,MP00001,2024-12-24,RELEASE,1088300,0,1579300,SYN_AGENCY_063,COMPLETED,2024-25
TXN000006,PRJ000002,MP00001,2025-05-20,ADVANCE,99300,99300,1480000,SYN_CONTRACTOR_075,COMPLETED,2025-26
TXN000007,PRJ000002,MP00001,2026-02-07,EXPENDITURE,502300,601600,977700,SYN_CONTRACTOR_075,COMPLETED,2025-26
TXN000008,PRJ000002,MP00001,2026-06-30,PAYMENT,404900,1006500,572800,SYN_CONTRACTOR_075,COMPLETED,2026-27
TXN000009,PRJ000003,MP00001,2024-08-23,SANCTION,2210700,0,2210700,SYN_AGENCY_068,COMPLETED,2024-25
TXN000010,PRJ000003,MP00001,2024-10-01,RELEASE,2208200,0,2210700,SYN_AGENCY_068,COMPLETED,2024-25
TXN000011,PRJ000003,MP00001,2024-10-25,ADVANCE,355900,355900,1854800,SYN_CONTRACTOR_076,COMPLETED,2024-25
TXN000012,PRJ000003,MP00001,2024-12-04,PAYMENT,1788500,2144400,66300,SYN_CONTRACTOR_076,COMPLETED,2024-25
TXN000013,PRJ000004,MP00001,2024-11-08,SANCTION,2476300,0,2476300,SYN_AGENCY_055,COMPLETED,2024-25
TXN000014,PRJ000004,MP00001,2025-05-10,RELEASE,1978600,0,2476300,SYN_AGENCY_055,COMPLETED,2025-26
TXN000015,PRJ000004,MP00001,2026-01-14,ADVANCE,266700,266700,2209600,SYN_CONTRACTOR_077,COMPLETED,2025-26
TXN000016,PRJ000004,MP00001,2026-06-30,PAYMENT,1673100,1939800,536500,SYN_VENDOR_051,COMPLETED,2026-27
TXN000017,PRJ000005,MP00001,2024-07-01,SANCTION,1614600,0,1614600,SYN_AGENCY_073,COMPLETED,2024-25
TXN000018,PRJ000005,MP00001,2025-02-26,RELEASE,1106300,0,1614600,SYN_AGENCY_073,COMPLETED,2024-25
TXN000019,PRJ000005,MP00001,2025-11-23,ADVANCE,161100,161100,1453500,SYN_CONTRACTOR_078,COMPLETED,2025-26
TXN000020,PRJ000005,MP00001,2026-04-26,EXPENDITURE,849500,1010600,604000,SYN_VENDOR_082,COMPLETED,2026-27
TXN000021,PRJ000006,MP00001,2024-10-26,SANCTION,758600,0,758600,SYN_AGENCY_014,COMPLETED,2024-25
TXN000022,PRJ000006,MP00001,2025-01-06,RELEASE,758600,0,758600,SYN_AGENCY_014,COMPLETED,2024-25
TXN000023,PRJ000006,MP00001,2025-02-24,ADVANCE,118800,118800,639800,SYN_CONTRACTOR_079,COMPLETED,2024-25
TXN000024,PRJ000006,MP00001,2025-05-17,EXPENDITURE,629600,748400,10200,SYN_CONTRACTOR_079,COMPLETED,2025-26
