state_ut,district,block_or_urban,is_urban
Uttar Pradesh,Lucknow,Malihabad,1
Uttar Pradesh,Lucknow,Mohanlalganj,1
Uttar Pradesh,Lucknow,Bakshi Ka Talab,1
Uttar Pradesh,Lucknow,Sarojini Nagar,1
Uttar Pradesh,Lucknow,Lucknow Municipal Corporation,1
Uttar Pradesh,Kanpur Nagar,Bilhaur,1
Uttar Pradesh,Kanpur Nagar,Ghatampur,1
Uttar Pradesh,Kanpur Nagar,Kalyanpur,1
Uttar Pradesh,Kanpur Nagar,Narwal,1
Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Municipal Corporation,1
Uttar Pradesh,Varanasi,Pindra,1
Uttar Pradesh,Varanasi,Sevapuri,1
Uttar Pradesh,Varanasi,Cholapur,1
Uttar Pradesh,Varanasi,Arajiline,1
Uttar Pradesh,Varanasi,Varanasi Municipal Corporation,1
Uttar Pradesh,Prayagraj,Phulpur,1
Uttar Pradesh,Prayagraj,Soraon,1
Uttar Pradesh,Prayagraj,Karchhana,1
Uttar Pradesh,Prayagraj,Bara,1
Uttar Pradesh,Prayagraj,Prayagraj Municipal Corporation,1
Uttar Pradesh,Agra,Agra-I,1
Uttar Pradesh,Agra,Agra-II,1
Uttar Pradesh,Agra,Agra-III,1
Uttar Pradesh,Agra,Agra Municipal Corporation,1
Uttar Pradesh,Meerut,Meerut-I,1
Uttar Pradesh,Meerut,Meerut-II,1
Uttar Pradesh,Meerut,Meerut-III,1
Uttar Pradesh,Meerut,Meerut Municipal Corporation,1
Uttar Pradesh,Gorakhpur,Gorakhpur-I,0
Uttar Pradesh,Gorakhpur,Gorakhpur-II,0
Uttar Pradesh,Gorakhpur,Gorakhpur-III,0
Uttar Pradesh,Gorakhpur,Gorakhpur Nagar Panchayat,1
Uttar Pradesh,Bareilly,Bareilly-I,0
Uttar Pradesh,Bareilly,Bareilly-II,0
Uttar Pradesh,Bareilly,Bareilly-III,0
Uttar Pradesh,Bareilly,Bareilly Nagar Panchayat,1
Uttar Pradesh,Aligarh,Aligarh-I,0
Uttar Pradesh,Aligarh,Aligarh-II,0
Uttar Pradesh,Aligarh,Aligarh-III,0
Uttar Pradesh,Aligarh,Aligarh Nagar Panchayat,1
Uttar Pradesh,Moradabad,Moradabad-I,0
Uttar Pradesh,Moradabad,Moradabad-II,0
Uttar Pradesh,Moradabad,Moradabad-III,0
Uttar Pradesh,Moradabad,Moradabad Nagar Panchayat,1
Uttar Pradesh,Jhansi,Jhansi-I,0
Uttar Pradesh,Jhansi,Jhansi-II,0
Uttar Pradesh,Jhansi,Jhansi-III,0
Uttar Pradesh,Jhansi,Jhansi Nagar Panchayat,1
Uttar Pradesh,Ayodhya,Ayodhya-I,0
Uttar Pradesh,Ayodhya,Ayodhya-II,0
Uttar Pradesh,Ayodhya,Ayodhya-III,0
Uttar Pradesh,Ayodhya,Ayodhya Nagar Panchayat,1
Uttar Pradesh,Azamgarh,Azamgarh-I,0
Uttar Pradesh,Azamgarh,Azamgarh-II,0
Uttar Pradesh,Azamgarh,Azamgarh-III,0
Uttar Pradesh,Azamgarh,Azamgarh Nagar Panchayat,1
Uttar Pradesh,Ghaziabad,Ghaziabad-I,1
Uttar Pradesh,Ghaziabad,Ghaziabad-II,1
Uttar Pradesh,Ghaziabad,Ghaziabad-III,1
Uttar Pradesh,Ghaziabad,Ghaziabad Municipal Corporation,1
Uttar Pradesh,Mathura,Mathura-I,0
Uttar Pradesh,Mathura,Mathura-II,0
Uttar Pradesh,Mathura,Mathura-III,0
Uttar Pradesh,Mathura,Mathura Nagar Panchayat,1
Maharashtra,Mumbai Suburban,Andheri,1
Maharashtra,Mumbai Suburban,Borivali,1
Maharashtra,Mumbai Suburban,Kurla,1
Maharashtra,Mumbai Suburban,Bandra,1
Maharashtra,Mumbai Suburban,Mumbai Suburban Municipal Corporation,1
Maharashtra,Pune,Haveli,1
Maharashtra,Pune,Baramati,1
Maharashtra,Pune,Shirur,1
Maharashtra,Pune,Junnar,1
Maharashtra,Pune,Pune Municipal Corporation,1
Maharashtra,Nagpur,Kamptee,1
Maharashtra,Nagpur,Hingna,1
Maharashtra,Nagpur,Katol,1
Maharashtra,Nagpur,Umred,1
Maharashtra,Nagpur,Nagpur Municipal Corporation,1
Maharashtra,Nashik,Sinnar,1
Maharashtra,Nashik,Igatpuri,1
Maharashtra,Nashik,Dindori,1
Maharashtra,Nashik,Niphad,1
Maharashtra,Nashik,Nashik Municipal Corporation,1
Maharashtra,Hingoli,Basmath,0
