state_ut,constituency_raw,constituency,district
Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,South Andaman
Andhra Pradesh,AMALAPURAM(SC),Amalapuram,Nellore
Andhra Pradesh,ANAKAPALLE,Anakapalle,Nellore
Andhra Pradesh,ANANTAPUR,Anantapur,Anantapur
Andhra Pradesh,ARAKU(ST),Araku,Visakhapatnam
Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,Krishna
Andhra Pradesh,BAPATLA,Bapatla,Tirupati
Andhra Pradesh,CHITTOOR,Chittoor,Chittoor
Andhra Pradesh,ELURU,Eluru,Krishna
Andhra Pradesh,GUNTUR,Guntur,Guntur
Andhra Pradesh,HINDUPUR,Hindupur,East Godavari
Andhra Pradesh,KADAPA,Kadapa,West Godavari
Andhra Pradesh,KAKINADA,Kakinada,Guntur
Andhra Pradesh,KURNOOL,Kurnool,Kurnool
Andhra Pradesh,MACHILIPATNAM,Machilipatnam,Guntur
Andhra Pradesh,NANDYAL,Nandyal,East Godavari
Andhra Pradesh,NARASAPURAM,Narasapuram,Anantapur
Andhra Pradesh,NARASARAOPET,Narasaraopet,Chittoor
Andhra Pradesh,NELLORE(SC),Nellore,Nellore
Andhra Pradesh,ONGOLE,Ongole,Kurnool
Andhra Pradesh,RAJAHMUNDRY,Rajahmundry,Anantapur
Andhra Pradesh,RAJAMPET,Rajampet,Nellore
Andhra Pradesh,SRIKAKULAM,Srikakulam,Visakhapatnam
Andhra Pradesh,TIRUPATI(SC),Tirupati,Tirupati
Andhra Pradesh,VIJAYAWADA,Vijayawada,Chittoor
Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,Visakhapatnam
Andhra Pradesh,VIZIANAGARAM,Vizianagaram,Nellore
Arunachal Pradesh,ARUNACHAL EAST,Arunachal East,Papum Pare
Arunachal Pradesh,ARUNACHAL WEST,Arunachal West,Tawang
Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh,Tawang
Assam,Assam,Assam,Dibrugarh
Assam,BARPETA,Barpeta,Barpeta
Assam,DHUBRI,Dhubri,Cachar
Assam,DIBRUGARH,Dibrugarh,Dibrugarh
Assam,Darrang-Udalguri,Darrang-Udalguri,Nagaon
Assam,Diphu (ST),Diphu,Kamrup Metropolitan
Assam,GUWAHATI,Guwahati,Kamrup Metropolitan
Assam,JORHAT,Jorhat,Jorhat
Assam,KARIMGANJ (SC),Karimganj,Dibrugarh
Assam,KOKRAJHAR (ST),Kokrajhar,Nagaon
Assam,Kaziranga,Kaziranga,Cachar
Assam,LAKHIMPUR,Lakhimpur,Sonitpur
Assam,NOWGONG,Nowgong,Sonitpur
Assam,SILCHAR,Silchar,Kamrup Metropolitan
Assam,Sonitpur,Sonitpur,Sonitpur
Bihar,ARARIA,Araria,Begusarai
Bihar,ARRAH,Arrah,Rohtas
Bihar,AURANGABAD_BR,Aurangabad_br,Saran
Bihar,BANKA,Banka,Darbhanga
Bihar,BEGUSARAI,Begusarai,Begusarai
Bihar,BHAGALPUR,Bhagalpur,Bhagalpur
Bihar,BUXAR,Buxar,Bhagalpur
Bihar,Bihar,Bihar,Gaya
Bihar,DARBHANGA,Darbhanga,Darbhanga
Bihar,GAYA (SC),Gaya,Gaya
Bihar,GOPALGANJ (SC),Gopalganj,Rohtas
Bihar,HAJIPUR(SC),Hajipur,Bhagalpur
Bihar,JAHANABAD,Jahanabad,Rohtas
Bihar,JAMUI(SC),Jamui,Muzaffarpur
Bihar,JHANJHARPUR,Jhanjharpur,Darbhanga
Bihar,KARAKAT,Karakat,Muzaffarpur
Bihar,KATIHAR,Katihar,Rohtas
Bihar,KHAGARIA,Khagaria,Bhagalpur
Bihar,KISHANGANJ,Kishanganj,Bhagalpur
Bihar,MADHEPURA,Madhepura,Saran
Bihar,MADHUBANI,Madhubani,Patna
Bihar,MAHARAJGANJ_BR,Maharajganj_br,Saran
Bihar,MUNGER,Munger,Purnia
Bihar,MUZAFFARPUR,Muzaffarpur,Muzaffarpur
Bihar,NALANDA,Nalanda,Nalanda
Bihar,NAWADA,Nawada,Bhagalpur
Bihar,PASCHIM CHAMPARAN,Paschim Champaran,Bhagalpur
Bihar,PATALIPUTRA,Pataliputra,Patna
Bihar,PATNA SAHIB,Patna Sahib,Patna
Bihar,PURNEA,Purnea,Darbhanga
Bihar,PURVI CHAMPARAN,Purvi Champaran,Saran
Bihar,SAMASTIPUR(SC),Samastipur,Bhagalpur
Bihar,SARAN,Saran,Saran
Bihar,SASARAM(SC),Sasaram,Darbhanga
Bihar,SHEOHAR,Sheohar,Begusarai
Bihar,SITAMARHI,Sitamarhi,Rohtas
Bihar,SIWAN,Siwan,Gaya
Bihar,SUPAUL,Supaul,Purnia
Bihar,UJJARPUR,Ujjarpur,Saran
Bihar,VAISHALI,Vaishali,Patna
