mp_id,mp_name,state_ut,constituency,district,house_type,allocated_amount_inr,allocation_year,data_source
MP_001,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,Hingoli,Lok Sabha,190289442.0,2024-2025,Official Ministry Dataset (MP 2)
MP_002,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,Baramullah,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_003,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,Aurangabad,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_004,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,Tamluk,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_005,Abu Taher Khan,West Bengal,MURSHIDABAD,Murshidabad,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_006,ADHIKARI SOUMENDU,West Bengal,KANTHI,Kanthi,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_007,ADITYA YADAV,Uttar Pradesh,BADAUN,Badaun,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_008,Adv Adoor Prakash,Kerala,ATTINGAL,Attingal,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_009,Adv Dean Kuriakose,Kerala,IDUKKI,Idukki,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_010,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),Nandurbar(St),Lok Sabha,147816309.1,2024-2025,Official Ministry Dataset (MP 2)
MP_011,ADV K FRANCIS GEORGE,Kerala,KOTTAYAM,Kottayam,Lok Sabha,188722256.1,2024-2025,Official Ministry Dataset (MP 2)
MP_012,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,Ghazipur,Lok Sabha,220500000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_013,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,Srinagar,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_014,Ajay Bhatt,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Nainital Udham Singh Nag.,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_015,Ajay Kumar Mandal,Bihar,BHAGALPUR,Bhagalpur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_016,Ajay Tamta,Uttarakhand,ALMORA(SC),Almora(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_017,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,Hamirpur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_018,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,Kannauj,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_019,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,Firozabad,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_020,ALFRED KANNGAM S ARTHUR,Manipur,OUTER MANIPUR(ST),Outer Manipur(St),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_021,Alok Kumar Suman,Bihar,GOPALGANJ (SC),Gopalganj (Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_022,ALOK SHARMA,Madhya Pradesh,BHOPAL,Bhopal,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_023,AMAR SHARADRAO KALE,Maharashtra,WARDHA,Wardha,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_024,AMARSING TISSO,Assam,Diphu (ST),Diphu (St),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_025,AMBICA G LAKSHMINARAYANA VALMIKI,Andhra Pradesh,ANANTAPUR,Anantapur,Lok Sabha,201899064.1,2024-2025,Official Ministry Dataset (MP 2)
MP_026,Amol Ramsing Kolhe,Maharashtra,SHIRUR,Shirur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_027,AMRARAM,Rajasthan,SIKAR,Sikar,Lok Sabha,165691544.1,2024-2025,Official Ministry Dataset (MP 2)
MP_028,AMRINDER SINGH RAJA WARRING,Punjab,LUDHIANA,Ludhiana,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_029,ANAND BHADAURIYA,Uttar Pradesh,DHAURAHRA,Dhaurahra,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_030,Hon'ble Members of Parliaments,State,Constituency,Constituency,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_031,Hon'ble MP,Maharashtra,Constituency,Constituency,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_032,ANAND KUMAR,Uttar Pradesh,BAHRAICH(SC),Bahraich(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_033,ANANTA NAYAK,Odisha,KEONJHAR(ST),Keonjhar(St),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_034,Andimuthu Raja,Tamil Nadu,NILGIRIS(SC),Nilgiris(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
