relationship_id,project_id,entity_id,relationship_type,financial_value_inr,is_primary,data_source
REL0000001,PRJ000001,SYN_AGENCY_014,IMPLEMENTED_BY,1343900,TRUE,MPLADS_SANCTION_ORDER
REL0000002,PRJ000001,SYN_DA_038,VERIFIED_BY,0,FALSE,DISTRICT_VERIFICATION_REGISTER
REL0000003,PRJ000002,SYN_AGENCY_063,IMPLEMENTED_BY,1579300,TRUE,MPLADS_SANCTION_ORDER
REL0000004,PRJ000002,SYN_CONTRACTOR_075,EXECUTED_BY,1472812,TRUE,SYNTHETIC_WORK_ORDER
REL0000005,PRJ000002,SYN_VENDOR_078,SUPPLIED_BY,130647,FALSE,SUPPLY_ORDER_REGISTER
REL0000006,PRJ000002,SYN_CONTRACTOR_075,PAID_TO,907200,TRUE,FUND_TRANSACTION_LEDGER
REL0000007,PRJ000003,SYN_AGENCY_068,IMPLEMENTED_BY,2210700,TRUE,MPLADS_SANCTION_ORDER
REL0000008,PRJ000003,SYN_CONTRACTOR_076,EXECUTED_BY,1814417,TRUE,SYNTHETIC_WORK_ORDER
REL0000009,PRJ000003,SYN_CONTRACTOR_076,PAID_TO,1788500,TRUE,FUND_TRANSACTION_LEDGER
REL0000010,PRJ000004,SYN_AGENCY_055,IMPLEMENTED_BY,2476300,TRUE,MPLADS_SANCTION_ORDER
REL0000011,PRJ000004,SYN_CONTRACTOR_013,EXECUTED_BY,1850165,TRUE,SYNTHETIC_WORK_ORDER
REL0000012,PRJ000004,SYN_VENDOR_051,SUPPLIED_BY,1866685,FALSE,SUPPLY_ORDER_REGISTER
REL0000013,PRJ000004,SYN_VENDOR_051,PAID_TO,1673100,TRUE,FUND_TRANSACTION_LEDGER
REL0000014,PRJ000004,SYN_MUNI_021,USER_AGENCY,0,TRUE,MPLADS_WORK_FILE
REL0000015,PRJ000005,SYN_AGENCY_073,IMPLEMENTED_BY,1614600,TRUE,MPLADS_SANCTION_ORDER
REL0000016,PRJ000005,SYN_CONTRACTOR_028,EXECUTED_BY,1155085,TRUE,SYNTHETIC_WORK_ORDER
REL0000017,PRJ000005,SYN_VENDOR_082,SUPPLIED_BY,916888,FALSE,SUPPLY_ORDER_REGISTER
REL0000018,PRJ000005,SYN_VENDOR_082,PAID_TO,849500,TRUE,FUND_TRANSACTION_LEDGER
