relationship_id,project_id,entity_id,relationship_type,financial_value_inr,is_primary,data_source
REL0000001,PRJ000001,SYN_AGENCY_014,IMPLEMENTED_BY,1232900,TRUE,MPLADS_SANCTION_ORDER
REL0000002,PRJ000002,SYN_AGENCY_063,IMPLEMENTED_BY,1832400,TRUE,MPLADS_SANCTION_ORDER
REL0000003,PRJ000002,SYN_DA_055,FUNDED_THROUGH,560400,TRUE,FUND_RELEASE_LEDGER
REL0000004,PRJ000002,SYN_CONTRACTOR_003,EXECUTED_BY,1661365,TRUE,WORK_ORDER
REL0000005,PRJ000002,SYN_SUPPLIER_032,SUPPLIED_BY,1079800,FALSE,SUPPLY_ORDER_REGISTER
REL0000006,PRJ000002,SYN_SUPPLIER_032,PAID_TO,1079800,TRUE,FUND_TRANSACTION_LEDGER
REL0000007,PRJ000002,SYN_CONTRACTOR_003,PAID_TO,602600,FALSE,FUND_TRANSACTION_LEDGER
REL0000008,PRJ000003,SYN_AGENCY_068,IMPLEMENTED_BY,316300,TRUE,MPLADS_SANCTION_ORDER
REL0000009,PRJ000003,SYN_CONTRACTOR_001,EXECUTED_BY,257801,TRUE,WORK_ORDER
REL0000010,PRJ000003,SYN_SUPPLIER_022,SUPPLIED_BY,11500,FALSE,SUPPLY_ORDER_REGISTER
REL0000011,PRJ000003,SYN_CONTRACTOR_001,PAID_TO,23600,TRUE,FUND_TRANSACTION_LEDGER
REL0000012,PRJ000003,SYN_SUPPLIER_022,PAID_TO,11500,FALSE,FUND_TRANSACTION_LEDGER
REL0000013,PRJ000003,SYN_DA_038,MONITORED_BY,0,FALSE,DISTRICT_MONITORING_REGISTER
REL0000014,PRJ000004,SYN_AGENCY_055,IMPLEMENTED_BY,1030200,TRUE,MPLADS_SANCTION_ORDER
REL0000015,PRJ000004,SYN_ZP_015,FUNDED_THROUGH,393300,TRUE,FUND_RELEASE_LEDGER
REL0000016,PRJ000004,SYN_CONTRACTOR_099,EXECUTED_BY,803552,TRUE,WORK_ORDER
REL0000017,PRJ000004,SYN_VENDOR_051,SUPPLIED_BY,337800,FALSE,SUPPLY_ORDER_REGISTER
REL0000018,PRJ000004,SYN_CONTRACTOR_099,PAID_TO,637800,TRUE,FUND_TRANSACTION_LEDGER
