project_id,mp_id,state_ut,constituency,district,block_or_urban,gram_panchayat_or_ward,village_or_locality,work_description,work_category,estimated_cost_inr,sanctioned_cost_inr,sanction_date,start_date,expected_completion_date,actual_completion_date,status,physical_completion_percentage,latitude,longitude,implementing_agency_id,ground_truth_label,anomaly_scenario
PRJ000001,MP00001,Maharashtra,HINGOLI,Hingoli,Hingoli Nagar Panchayat,Ward No. 27,Bal Enclave,"Construction of additional classrooms at Government School, Bal Enclave, Hingoli district",SCHOOL_INFRASTRUCTURE,1370200,1343900,2024-09-13,2024-11-13,2025-04-19,2025-04-11,COMPLETED,100,21.85254,77.96556,SYN_AGENCY_014,NORMAL,NORMAL
PRJ000002,MP00001,Maharashtra,HINGOLI,Hingoli,Hingoli Block,Shivhalli Gram Panchayat,Shivhalli,"Construction of Community Centre at Shivhalli, Hingoli district",COMMUNITY_HALL,1679700,1579300,2024-07-01,2024-07-24,2025-05-09,,DELAYED,63,21.8223,77.90464,SYN_AGENCY_063,ANOMALOUS,PROJECT_DELAY
PRJ000003,MP00001,Maharashtra,HINGOLI,Hingoli,Hingoli Block,Mahipur Gram Panchayat,Mahipur,"Construction of bus shelter at Mahipur, Hingoli district",BUS_SHELTER,2225500,2210700,2024-08-23,2024-09-11,2024-11-19,2024-12-08,COMPLETED,100,21.84508,78.02906,SYN_AGENCY_068,ANOMALOUS,FUND_OUTCOME_MISMATCH
PRJ000004,MP00001,Maharashtra,HINGOLI,Hingoli,Hingoli Block,Indrapur Gram Panchayat,Indrapur,"Construction of additional classrooms at Government School, Indrapur, Hingoli district",SCHOOL_INFRASTRUCTURE,2607000,2476300,2024-11-08,2025-01-09,2025-08-25,,ONGOING,82,21.79754,77.90161,SYN_AGENCY_055,NORMAL,NORMAL
PRJ000005,MP00001,Maharashtra,HINGOLI,Hingoli,Hingoli Urban Local Body,Ward No. 8,Shyam Vihar,"Construction of Panchayat Bhawan at Shyam Vihar, Hingoli district",PUBLIC_BUILDING,1712000,1614600,2024-07-01,2024-07-16,2025-03-14,,DELAYED,62,21.84542,78.04204,SYN_AGENCY_073,ANOMALOUS,PROJECT_DELAY
PRJ000006,MP00001,Maharashtra,HINGOLI,Hingoli,Hingoli Municipality,Ward No. 35,Sagar Colony,"Construction of individual household toilets in Sagar Colony, Hingoli district",SANITATION,772000,758600,2024-10-26,2024-12-28,2025-05-04,2025-05-21,COMPLETED,100,21.83708,78.05139,SYN_AGENCY_014,NORMAL,NORMAL
PRJ000007,MP00001,Maharashtra,HINGOLI,Hingoli,Hingoli Block,Veergarh Gram Panchayat,Veergarh,"Construction of additional classrooms at Government School, Veergarh, Hingoli district",SCHOOL_INFRASTRUCTURE,1111400,1100800,2024-07-23,2024-09-04,2025-02-08,2025-03-03,COMPLETED,100,21.82125,78.00361,SYN_AGENCY_028,NORMAL,NORMAL
PRJ000008,MP00001,Maharashtra,HINGOLI,Hingoli,Hingoli Block,Yamunahalli Gram Panchayat,Yamunahalli,"Provision of hand pumps/bore-well for drinking water in Yamunahalli, Hingoli district",DRINKING_WATER,878600,869900,2024-07-25,2024-09-05,2025-03-02,2025-03-30,COMPLETED,100,21.78417,78.01373,SYN_AGENCY_026,NORMAL,NORMAL
PRJ000009,MP00002,Jammu And Kashmir,BARAMULLAH,Baramullah,Baramullah Municipality,Ward No. 1,Chandan Colony,"Laying of water supply pipeline in Chandan Colony, Baramullah district",WATER_SUPPLY,2249600,2127100,2024-07-01,2024-08-16,2025-02-10,,DELAYED,33,35.70294,78.79976,SYN_AGENCY_026,ANOMALOUS,PROJECT_DELAY
PRJ000010,MP00002,Jammu And Kashmir,BARAMULLAH,Baramullah,Baramullah Block,Krishnaoli Gram Panchayat,Krishnaoli,"Provision of electrification works in Krishnaoli, Baramullah district",ELECTRIFICATION,1296900,1272000,2024-11-21,2025-02-19,2025-06-14,2025-06-15,COMPLETED,100,35.73543,78.77304,SYN_AGENCY_042,ANOMALOUS,POSSIBLE_DUPLICATE
PRJ000011,MP00002,Jammu And Kashmir,BARAMULLAH,Baramullah,Baramullah Block,Veerkheda Gram Panchayat,Veerkheda,"Black-topping/upgradation of village road in Veerkheda, Baramullah district",ROAD,3328100,3133400,2025-03-23,2025-05-19,2026-01-22,,ONGOING,17,35.80555,78.70806,SYN_AGENCY_065,NORMAL,NORMAL
PRJ000012,MP00002,Jammu And Kashmir,BARAMULLAH,Baramullah,Baramullah Block,Ramoli Gram Panchayat,Ramoli,"Augmentation of piped water supply network in Ramoli, Baramullah district",WATER_SUPPLY,2203200,2176300,2024-09-09,2024-12-03,2025-05-31,,ONGOING,77,35.75977,78.72235,SYN_AGENCY_064,NORMAL,NORMAL
PRJ000013,MP00002,Jammu And Kashmir,BARAMULLAH,Baramullah,Baramullah Block,Godavarikheda Gram Panchayat,Godavarikheda,"Black-topping/upgradation of village road in Godavarikheda, Baramullah district",ROAD,1867500,1826300,2024-08-06,2024-09-23,2025-02-15,2025-02-15,COMPLETED,100,35.74561,78.66073,SYN_AGENCY_023,NORMAL,NORMAL
PRJ000014,MP00002,Jammu And Kashmir,BARAMULLAH,Baramullah,Baramullah Block,Jaipatti Gram Panchayat,Jaipatti,"Development of playground/sports ground at Jaipatti, Baramullah district",SPORTS_INFRASTRUCTURE,1293400,1229100,2024-07-08,2024-09-29,2025-04-17,,ONGOING,80,35.76067,78.67579,SYN_AGENCY_038,NORMAL,NORMAL
PRJ000015,MP00002,Jammu And Kashmir,BARAMULLAH,Baramullah,Baramullah Block,Indranagar Gram Panchayat,Indranagar,"Construction of individual household toilets in Indranagar, Baramullah district",SANITATION,1493900,1511700,2024-07-01,2024-08-27,2024-11-17,,DELAYED,15,35.81253,78.71041,SYN_AGENCY_071,ANOMALOUS,LOW_UTILIZATION
PRJ000016,MP00002,Jammu And Kashmir,BARAMULLAH,Baramullah,Baramullah Block,Amarpatti Gram Panchayat,Amarpatti,"Provision of hand pumps/bore-well for drinking water in Amarpatti, Baramullah district",DRINKING_WATER,2327300,3364000,2024-11-24,2025-01-14,2025-07-06,,ONGOING,99,35.72311,78.68275,SYN_AGENCY_027,ANOMALOUS,COST_OVERRUN
PRJ000017,MP00002,Jammu And Kashmir,BARAMULLAH,Baramullah,Baramullah Block,Deepabad Gram Panchayat,Deepabad,"Provision of hand pumps/bore-well for drinking water in Deepabad, Baramullah district",DRINKING_WATER,14250900,13982400,2025-04-29,2025-05-21,2025-11-17,,ONGOING,16,35.72163,78.79819,SYN_AGENCY_002,ANOMALOUS,FUND_OUTCOME_MISMATCH
PRJ000018,MP00002,Jammu And Kashmir,BARAMULLAH,Baramullah,Baramullah Block,Ramwadi Gram Panchayat,Ramwadi,"Black-topping/upgradation of village road in Ramwadi, Baramullah district",ROAD,1979900,1902700,2024-09-13,2024-10-19,2025-04-25,2025-05-25,COMPLETED,100,35.76371,78.75437,SYN_AGENCY_012,NORMAL,NORMAL
PRJ000019,MP00003,Bihar,AURANGABAD_BR,Aurangabad,Aurangabad Block,Gangaoli Gram Panchayat,Gangaoli,"Construction of Community Centre at Gangaoli, Aurangabad district",COMMUNITY_HALL,16990700,16330300,2025-03-18,2025-04-16,2025-09-17,,ONGOING,36,26.92168,87.28833,SYN_AGENCY_060,ANOMALOUS,FUND_OUTCOME_MISMATCH
PRJ000020,MP00003,Bihar,AURANGABAD_BR,Aurangabad,Aurangabad Block,Kaveripura Gram Panchayat,Kaveripura,"Construction of concrete road at Kaveripura, Aurangabad district",ROAD,3226800,3212000,2024-09-17,2024-10-26,2025-06-30,,ONGOING,92,27.0226,87.39033,SYN_AGENCY_034,NORMAL,NORMAL
PRJ000021,MP00003,Bihar,AURANGABAD_BR,Aurangabad,Aurangabad Municipal Corporation,Ward No. 9,Kishan Layout,"Upgradation of Primary Health Sub-Centre at Kishan Layout, Aurangabad district",HEALTH_INFRASTRUCTURE,2708700,2759300,2025-01-31,2025-04-04,2025-10-10,,ONGOING,48,26.87798,87.39474,SYN_AGENCY_079,NORMAL,NORMAL
PRJ000022,MP00003,Bihar,AURANGABAD_BR,Aurangabad,Aurangabad Block,Mohanpatti Gram Panchayat,Mohanpatti,"Installation of drinking water supply scheme in Mohanpatti, Aurangabad district",DRINKING_WATER,1245000,1185300,2024-10-05,2024-11-17,2025-05-17,2025-05-02,COMPLETED,32,26.928,87.35595,SYN_AGENCY_034,ANOMALOUS,FINANCIAL_PHYSICAL_MISMATCH
PRJ000023,MP00003,Bihar,AURANGABAD_BR,Aurangabad,Aurangabad Block,Bharatpalli Gram Panchayat,Bharatpalli,"Laying of water supply pipeline in Bharatpalli, Aurangabad district",WATER_SUPPLY,2755300,2634400,2024-12-29,2025-01-16,2025-07-24,,ONGOING,76,26.9103,87.30664,SYN_AGENCY_032,NORMAL,NORMAL
PRJ000024,MP00003,Bihar,AURANGABAD_BR,Aurangabad,Aurangabad Municipality,Ward No. 29,Chandan Enclave,"Construction of bus shelter at Chandan Enclave, Aurangabad district",BUS_SHELTER,470800,470000,2024-12-17,2025-02-04,2025-03-11,2025-03-19,COMPLETED,100,26.89567,87.30235,SYN_AGENCY_021,ANOMALOUS,POSSIBLE_DUPLICATE
PRJ000025,MP00003,Bihar,AURANGABAD_BR,Aurangabad,Aurangabad Block,Suryagaon Gram Panchayat,Suryagaon,"Construction of concrete road at Suryagaon, Aurangabad district",ROAD,3520800,4867600,2024-07-01,2024-09-05,2025-02-21,,DELAYED,57,26.98961,87.41897,SYN_AGENCY_013,ANOMALOUS,MULTIPLE_SIGNALS
PRJ000026,MP00003,Bihar,AURANGABAD_BR,Aurangabad,Aurangabad Block,Jaipatti Gram Panchayat,Jaipatti,"Construction of passenger waiting shed at Jaipatti, Aurangabad district",BUS_SHELTER,436300,430200,2024-11-20,2025-02-09,2025-04-24,2025-04-15,COMPLETED,100,26.89646,87.31789,SYN_AGENCY_079,NORMAL,NORMAL
PRJ000027,MP00004,West Bengal,TAMLUK,Tamluk,Tamluk Block,Rampalli Gram Panchayat,Rampalli,"Black-topping/upgradation of village road in Rampalli, Tamluk district",ROAD,2407500,2381100,2024-11-02,2025-01-09,2025-07-18,,ONGOING,63,24.71152,89.72994,SYN_AGENCY_047,NORMAL,NORMAL
PRJ000028,MP00004,West Bengal,TAMLUK,Tamluk,Tamluk Block,Krishnagarh Gram Panchayat,Krishnagarh,"Construction of community sanitation complex in Krishnagarh, Tamluk district",SANITATION,709600,688900,2024-09-08,2024-11-14,2025-03-14,2025-02-27,COMPLETED,100,24.66754,89.77335,SYN_AGENCY_046,NORMAL,NORMAL
